city_id,city,city_en,province
21,الرياض,Riyadh,Riyadh
92,محايل,Muhayil,Aseer
66,جدة,Jeddah,Makkah
12,الخبر,Khobar,Eastern
18,الدمام,Dammam,Eastern
41,المدينة المنورة,Madinah,Madinah
94,مكة المكرمة,Makkah,Makkah
26,الطائف,Taif,Makkah
1,ابها,Abha,Aseer
9,الجموم,Al Jumum,Makkah
65,جازان,Jazan,Jazan
93,مدينة الملك عبدالله الاقتصادية,King Abdullah Economic City,Makkah
16,الدرعية,Diriyah,Riyadh
43,المزاحمية,Al-Muzahmiyya,Riyadh
46,الهفوف,Al Hofuf,Eastern
56,بيش,Baish,Jazan
6,البدائع,Al Badayea,Qasim
28,العلا,Al Ula,Madinah
52,بريدة,Buraydah,Qasim
91,عنيزة,Unaizah,Qasim
63,ثادق,Thadiq,Riyadh
13,الخرج,Al Kharj,Riyadh
73,رابغ,Rabigh,Makkah
3,احد المسارحة,Ahad Al Masarihah,Jazan
27,الظهران,Dhahran,Eastern
34,القنفذة,Al Qunfudhah,Makkah
8,الجبيل,Al Jubail,Eastern
68,حفر الباطن,Hafar Al Batin,Eastern
97,ينبع,Yanbu,Madinah
74,راس تنورة,Ras Tanura,Eastern
67,حائل,Hail,Hail
70,خميس مشيط,Khamis Mushait,Aseer
69,حوطة بني تميم,Howtat Babi Tamim,Riyadh
54,بقيق,Buqayq,Eastern
64,ثول,Thuwal,Makkah
72,دومة الجندل,Dumat al-Jandal,Al-Jawf 
84,صبيا,Sabya,Jazan
2,ابو عريش,Abu Arish,Jazan
40,المجمعة,Al Majma'ah,Riyadh
59,تبوك,Tabuk,Tabuk
45,النعيرية,Nairyah,Eastern
22,الزلفي,Az Zulfi,Riyadh
33,القطيف,Al Qatif,Eastern
11,الحناكية,Al Henakiyah,Madinah
88,عرعر,Arar,Northern Borders
78,رياض الخبراء,Riyadh Al Khabra,Qasim
96,نجران,Najran,Najran
4,احد رفيده,Ahad Rafidah,Aseer
39,المجاردة,Al Majaridah,Aseer
24,الشماسية,Ash Shimasiyah,Qasim
80,سيهات,Saihat,Eastern
7,البكيرية,Al Bukayriyah,Qasim
85,صفوى,Safwa,Eastern
36,الكامل,Al Kamil,Makkah
20,الرس,Ar Rass,Qasim
77,رنية,Ranyah,Makkah
17,الدلم,Ad Dilam,Riyadh
44,النبهانية,An Nabhaniyah,Qasim
95,مهد الذهب,Mahd adh Dhahab,Madinah
35,القويعية,Al Quwaiiyah,Riyadh
79,سكاكا,Sakaka,Al-Jawf 
5,الباحة,Al Bahah,Al-Bahah
25,الشنان,Ash Shinan,Hail
10,الحريق,Al Hariq,Riyadh
89,عفيف,Afif,Riyadh
47,الهياثم,Al Hayathem,Riyadh
71,خيبر,Khaybar,Madinah
29,العيون,Al Oyun,Eastern
19,الدوادمي,Al Duwadimi,Riyadh
55,بللسمر,Billasmar,Aseer
60,تثليث,Tathleeth,Aseer
61,تربه,Turbah,Makkah
42,المذنب,Al Mithnab,Qasim
30,الغاط,Al Ghat,Riyadh
82,شقراء,Shaqra,Riyadh
57,بيشة,Bisha,Aseer
53,بقعاء,Baqaa,Hail
31,الغزالة,Al Ghazalah,Hail
15,الخفجي,Khafji,Eastern
23,السليل,As Sulayyil,Riyadh
62,تيماء,Tayma,Tabuk
37,الليث,Al Lith,Makkah
14,الخرمة,Al Khurma,Makkah
50,املج,Umluj,Tabuk
76,رماح,Rumah,Riyadh
86,ضبا,Duba,Tabuk
75,رفحاء,Rafha,Northern Borders
51,بدر,Badr,Madinah
81,شرورة,Sharorah,Najran
48,الوجه,Al Wajh,Tabuk
83,صامطة,Samtah,Jazan
38,المبرز,Al Mubarraz,Eastern
32,القريات,Al Qurayyat,Al-Jawf 
58,تاروت,Tarout Island,Eastern
87,طريف,Turaif,Northern Borders
90,عنك,Anak,Eastern
49,الوديعة,Al Wadiah,Najran
